Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
StateProgressBar,com.kofigyan.stateprogressbarsample,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,AllStatesCompletedActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,AnimationFourStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,BaseActivity,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AllStatesCompletedActivity; AnimationFourStatesActivity; BaseDescriptionActivity; BasicFiveDescendingStatesActivity; BasicFiveStatesActivity; BasicFourDescendingStatesActivity; BasicFourStatesActivity; BasicThreeDescendingStatesActivity; BasicThreeStatesActivity; BasicTwoDescendingStatesActivity; BasicTwoStatesActivity; CheckFourStatesActivity
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicFiveDescendingStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicFiveStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicFourDescendingStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicFourStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicThreeDescendingStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicThreeStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicTwoDescendingStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,BasicTwoStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,ChangingStatesSizeActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,CheckFourStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,ColoringStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,DescriptionFourStatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,StatesListActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageAmenitiesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageAmenitiesActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UsageBaseActivity
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageCompleteActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageCompleteActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UsageBaseActivity
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageDetailsActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
StateProgressBar,com.kofigyan.stateprogressbarsample,UsageDetailsActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UsageBaseActivity; OnUserDetailClickListener
