Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
StateProgressBar-master,com.kofigyan.stateprogressbarsample,AnimationFourStatesActivity,onOptionsItemSelected,Magic Number,The method contains a magic number: 5000,31
StateProgressBar-master,com.kofigyan.stateprogressbarsample,AnimationFourStatesActivity,onOptionsItemSelected,Magic Number,The method contains a magic number: 5000,31
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onOptionsItemSelected,Complex Method,Cyclomatic complexity of the method is 12,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onOptionsItemSelected,Long Statement,The length of the statement "if (stateProgressBar.getMaxStateNumber() >= StateProgressBar.StateNumber.TWO.getValue()) stateProgressBar.setCurrentStateNumber(StateProgressBar.StateNumber.TWO);" is 162.,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onOptionsItemSelected,Long Statement,The length of the statement "else Toast.makeText(getApplicationContext()`getResources().getString(R.string.max_error_message)`Toast.LENGTH_LONG).show();" is 123.,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onOptionsItemSelected,Long Statement,The length of the statement "if (stateProgressBar.getCurrentStateNumber() <= StateProgressBar.StateNumber.FOUR.getValue()) stateProgressBar.setMaxStateNumber(StateProgressBar.StateNumber.FOUR);" is 164.,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onOptionsItemSelected,Long Statement,The length of the statement "else Toast.makeText(getApplicationContext()`getResources().getString(R.string.max_error_message)`Toast.LENGTH_LONG).show();" is 123.,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onOptionsItemSelected,Magic Number,The method contains a magic number: 40f,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onOptionsItemSelected,Magic Number,The method contains a magic number: 20f,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseActivity,onOptionsItemSelected,Magic Number,The method contains a magic number: 10f,35
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseDescriptionActivity,onOptionsItemSelected,Magic Number,The method contains a magic number: 10f,45
StateProgressBar-master,com.kofigyan.stateprogressbarsample,BaseDescriptionActivity,onOptionsItemSelected,Magic Number,The method contains a magic number: 18f,45
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,onCreateViewHolder,Long Statement,The length of the statement "Intent intent=new Intent(context`Utils.selectActivity(position`isDescending ? Utils.basicDescendingActivities : Utils.basicActivities));" is 136.,69
StateProgressBar-master,com.kofigyan.stateprogressbarsample.not_stateprogressbar.adapter,StatesListAdapter,onItemClick,Long Statement,The length of the statement "Intent intent=new Intent(context`Utils.selectActivity(position`isDescending ? Utils.basicDescendingActivities : Utils.basicActivities));" is 136.,73
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Identifier,The length of the field mAnimateToCurrentProgressState is 30.,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Statement,The length of the statement "mStateNumberBackgroundColor=a.getColor(R.styleable.StateProgressBar_spb_stateNumberBackgroundColor`mStateNumberBackgroundColor);" is 128.,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Statement,The length of the statement "mStateNumberForegroundColor=a.getColor(R.styleable.StateProgressBar_spb_stateNumberForegroundColor`mStateNumberForegroundColor);" is 128.,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Statement,The length of the statement "mCurrentStateDescriptionColor=a.getColor(R.styleable.StateProgressBar_spb_currentStateDescriptionColor`mCurrentStateDescriptionColor);" is 134.,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Statement,The length of the statement "mAnimateToCurrentProgressState=a.getBoolean(R.styleable.StateProgressBar_spb_animateToCurrentProgressState`mAnimateToCurrentProgressState);" is 139.,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Statement,The length of the statement "mEnableAllStatesCompleted=a.getBoolean(R.styleable.StateProgressBar_spb_enableAllStatesCompleted`mEnableAllStatesCompleted);" is 124.,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Statement,The length of the statement "mDescTopSpaceDecrementer=a.getDimension(R.styleable.StateProgressBar_spb_descriptionTopSpaceDecrementer`mDescTopSpaceDecrementer);" is 130.,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Statement,The length of the statement "mDescTopSpaceIncrementer=a.getDimension(R.styleable.StateProgressBar_spb_descriptionTopSpaceIncrementer`mDescTopSpaceIncrementer);" is 130.,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Statement,The length of the statement "mIsStateNumberDescending=a.getBoolean(R.styleable.StateProgressBar_spb_stateNumberIsDescending`mIsStateNumberDescending);" is 121.,215
StateProgressBar-master,com.kofigyan.stateprogressbar,StateProgressBar,init,Long Statement,The length of the statement "mDescriptionLinesSpacing=a.getDimension(R.styleable.StateProgressBar_spb_descriptionLinesSpacing`mDescriptionLinesSpacing);" is 123.,215
